sinal_id,pilar,nome,definicao,formula,grupo_comparacao,limiar,limiar_sentido,limiar_origem,severidade,peso,materialidade,persistencia_min_meses,tipo_evidencia,explicacoes_benignas,acao_investigacao,n_grupo_comparacao,n_avaliavel,n_avaliavel_e_material,n_universo,cobertura_universo_pct,n_veiculos_disparo,n_veiculos_disparo_persistente
IC-01,7. Inconsistências contábeis e econômicas,Identidade patrimonial violada,"Carteira maior que o ativo total, ou patrimônio líquido maior que o ativo total — impossibilidades contábeis diretas.",carteira > 1.005*TAB_I_VL_ATIVO OR VL_PL > 1.005*TAB_I_VL_ATIVO,Veículos com ativo total > 0,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,crítica,10,ativo total >= R$ 10 mi,1,derivado,"Erro de digitação de casa decimal em um único campo produz o efeito sem qualquer irregularidade econômica; a tolerância de 0,5% já absorve arredondamento.",Pedir reapresentação do informe da competência e verificar se o erro se repete nos meses vizinhos.,3471,4174,3471,4327,96.46,1,1
IC-02,7. Inconsistências contábeis e econômicas,Rentabilidade da cota sênior implausivelmente alta,Melhor rentabilidade mensal entre as séries sêniores acima do p99 do mercado — sênior é a classe de retorno-alvo limitado.,rent_sen_max = MAX(TAB_X_VL_RENTAB_MES onde TIPO_COTA='senior'),Veículos com série sênior emitida (VL_SERIE > 0),4.580400000000002,>=,"p99 da distribuição observada no grupo de comparação em 2026-06-30 (n=1733, mediana=1.33); dispara >=",alta,6,PL >= R$ 50 mi,2,observado,"Reversão de provisão excessiva, recebimento de crédito antes baixado e recomposição de série após período negativo produzem meses excepcionais legítimos. Séries de valor pequeno amplificam percentuais.",Verificar se o retorno excepcional é compatível com o resultado da carteira no mesmo mês; retorno de sênior descolado do resultado do fundo sugere marcação inadequada da cota.,1733,3160,1733,4327,73.03,18,5
IC-03,7. Inconsistências contábeis e econômicas,Resultado positivo na sênior com inadimplência alta e provisão nula,Sênior rendendo positivo no mês enquanto a taxa de inadimplência está no quartil superior do mercado e nenhuma provisão foi constituída — resultado sem reconhecimento de perda.,rent_sen_min > 0 AND tx_inad >= p75(mercado) AND prov = 0,"Veículos com sênior emitida, tx_inad computável e inadimplência > 0",1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,inadimplência >= R$ 10 mi,2,derivado,"Coobrigação plena do cedente ou seguro de crédito transferem a perda para fora do fundo, e nesse caso resultado positivo sem provisão é correto. Fundo sem aquisição substancial de risco (I.2.B) está no mesmo caso.",Ler a cláusula de coobrigação e conferir na tab VII.D se as recompras efetivamente ocorreram no volume compatível com o estoque vencido.,554,1555,554,4327,35.94,36,20
IC-04,7. Inconsistências contábeis e econômicas,Colapso de patrimônio líquido em um único mês,"Variação mensal do PL no p1 inferior da distribuição do mercado, partindo de base relevante.",var_pl_m = VL_PL(t)/VL_PL(t-1) - 1,Veículos com PL do mês anterior >= R$ 10 mi,-0.49246291263188424,<=,"p1 da distribuição observada no grupo de comparação em 2026-06-30 (n=3359, mediana=0.01217); dispara <=",alta,6,PL do mês anterior >= R$ 10 mi,1,derivado,"Amortização programada de série sênior, resgate de cotista único e encerramento ordenado do fundo produzem quedas abruptas totalmente planejadas. Cisão de classe também transfere PL sem perda.",Cruzar com a tab X.4: queda acompanhada de amortização/resgate equivalente é devolução de capital; queda sem contrapartida de pagamento é perda.,3359,3359,3359,4327,77.63,34,34
IC-05,7. Inconsistências contábeis e econômicas,Crescimento explosivo do patrimônio em 12 meses,"Crescimento do PL contra a mesma competência do ano anterior acima do p98 do mercado, partindo de base relevante.",cresc_12 = VL_PL(t)/VL_PL(t-12m) - 1,Veículos com PL de 12 meses antes >= R$ 10 mi,4.498612904871831,>=,"p98 da distribuição observada no grupo de comparação em 2026-06-30 (n=1233, mediana=0.1742); dispara >=",média,3,PL de 12m antes >= R$ 10 mi e PL atual >= R$ 100 mi,2,derivado,Fundo em ramp-up após a constituição cresce muitas vezes seu tamanho por desenho. Captação de nova série sênior de um investidor institucional produz salto legítimo. Incorporação de outro veículo também.,Verificar se o crescimento do PL veio acompanhado de crescimento proporcional da carteira e de diversificação de cedentes; crescimento com cedente único e sem carteira nova é o padrão de carrossel.,1233,2676,1233,4327,61.84,25,16
IC-06,7. Inconsistências contábeis e econômicas,Descolamento entre patrimônio e carteira em 12 meses,Diferença entre o crescimento logarítmico do PL e o da carteira em 12 meses acima do p98: o patrimônio cresce sem que o ativo de crédito acompanhe.,desloc_12 = ln(PL(t)/PL(t-12m)) - ln(carteira(t)/carteira(t-12m)),Veículos com PL e carteira > 0 em t e em t-12m,0.23811848877330238,>=,"p98 da distribuição observada no grupo de comparação em 2026-06-30 (n=1241, mediana=-0.0001928); dispara >=",média,3,PL >= R$ 100 mi,2,derivado,"Fundo que captou e ainda não alocou mantém caixa em títulos públicos: PL cresce, carteira de crédito não. É prudência de alocação, não anomalia. Mudança de estratégia para renda fixa também produz o efeito.",Ver onde está o ativo não alocado (I.2.C a I.2.E): caixa em título público é benigno; ativo não identificado no informe merece exame.,1241,3064,1241,4327,70.81,25,17
PO-01,"8. PLD/FTP, lastro e movimentação",Giro anual da carteira no extremo do mercado,"Aquisições de direitos creditórios em 12 meses sobre a carteira média do período, acima do p98 — volume de movimentação desproporcional ao estoque.",aq_giro = SUM_12m(VII_A1_2 + VII_A2_2) / MEDIA_12m(TAB_I2_VL_CARTEIRA),Veículos com carteira média 12m > 0 e >= 10 das 12 competências,9.068093452089315,>=,"p98 da distribuição observada no grupo de comparação em 2026-06-30 (n=1871, mediana=0.1931); dispara >=",média,3,carteira média 12m >= R$ 50 mi,2,derivado,"Duplicata mercantil de 30 dias gira 12 vezes ao ano por definição aritmética; antecipação de cartão gira ainda mais. Giro alto é a assinatura do factoring legítimo, não de lavagem.",Comparar o giro com o prazo médio declarado nas tabs V/VI: giro incompatível com o prazo médio da própria carteira é que é anômalo.,1871,3481,1871,4327,80.45,38,37
PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,"Recompras (VII.D) somadas a substituições (VII.C) em 12 meses sobre a carteira média, acima do p95 — mecanismo clássico de mascarar atraso trocando o papel vencido por papel novo.",roll_giro = SUM_12m(TAB_VII_C_2_VL_SUBST + TAB_VII_D_2_VL_RECOMPRA) / MEDIA_12m(TAB_I2_VL_CARTEIRA),Veículos com carteira média 12m > 0 e >= 10 das 12 competências,0.38223524859727276,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=1871, mediana=0); dispara >=",alta,6,carteira média 12m >= R$ 50 mi,2,derivado,"Substituição contratual de duplicata com vício formal (erro de emissão, divergência de valor) é obrigação do cedente prevista em regulamento e ocorre em volume relevante em carteiras pulverizadas. Recompra por coobrigação é a estrutura funcionando como desenhada.",Cruzar recompra com inadimplência: recompra alta com inadimplência reportada nula é a assinatura de rolagem; recompra alta com inadimplência também alta é coobrigação atuando.,1871,3481,1871,4327,80.45,94,88
PO-03,"8. PLD/FTP, lastro e movimentação",Alienação de direitos creditórios a partes relacionadas,"Venda de créditos ao próprio cedente ou a prestadores de serviço do fundo em 12 meses, em montante relevante frente à carteira.",ali_rel_giro = SUM_12m(TAB_VII_B1_2_VL_CEDENTE + TAB_VII_B2_2_VL_PREST) / MEDIA_12m(carteira) >= 0.01,Veículos com carteira média 12m > 0 e >= 10 das 12 competências,0.01,>=,"limiar fixo 0.01 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=2953)",alta,6,carteira média 12m >= R$ 10 mi,1,observado,"Devolução de crédito ao cedente por vício de origem, ou exercício de opção de recompra prevista, aparece nesta rubrica sem qualquer conflito. O campo é preenchido por pouquíssimos veículos, o que torna o sinal raro e de alta especificidade, mas de baixa cobertura.",Obter o preço de venda e compará-lo ao valor contábil (PO-04): alienação a parte relacionada abaixo do valor contábil transfere valor do fundo para o originador.,2953,3481,2953,4327,80.45,10,10
PO-04,"8. PLD/FTP, lastro e movimentação",Deságio anômalo em alienação a terceiros,"Preço obtido na venda de créditos a terceiros sobre o valor contábil dos mesmos créditos, abaixo do p5 do mercado.","desagio_terc = TAB_VII_B3_2_VL_TERCEIRO / TAB_VII_B3_3_VL_CONTAB_TERCEIRO <= 0,50 (deságio superior a 50% do valor contábil)",Veículos com alienação a terceiros e valor contábil ambos > 0,0.5,<=,"limiar fixo 0.5 (<=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=13)",média,3,alienação a terceiros >= R$ 1 mi,1,observado,Venda de carteira já vencida e provisionada acontece a poucos centavos por real e é exatamente o preço de mercado do ativo. Deságio profundo é esperado em cessão de carteira em recuperação.,"Verificar se o crédito vendido já estava provisionado: deságio sobre ativo provisionado é realização de perda já reconhecida; sobre ativo não provisionado, é perda escondida até aquele momento.",13,30,13,4327,0.69,5,5
PO-05,"8. PLD/FTP, lastro e movimentação",Cedente pessoa física com participação relevante,"Documento de cedente com 11 dígitos (CPF) associado a percentual declarado de 20% ou mais da carteira — originação por pessoa física em escala, ponto de atenção de PLD/FTP.","pr_max_cpf >= 20, com pr_max_cpf = MAX(PR_CEDENTE) sobre length(digits(DOC_CEDENTE)) = 11",Veículos que declaram cedentes com percentual válido,20.0,>=,"limiar fixo 20 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=1293)",média,3,DC >= R$ 10 mi,3,observado,"FIDC do agronegócio compra CPR de produtor rural pessoa física, e FIDC de precatórios compra crédito de credor pessoa física: nos dois casos o cedente PF é o modelo de negócio. Também há preenchimento errado de CNPJ truncado a 11 dígitos.","Verificar o segmento (tab II) antes de qualquer leitura de PLD; se não for agro nem judicial, identificar a pessoa física e sua capacidade econômica de originar o volume declarado.",1293,1718,1293,4327,39.7,17,11
PO-06,"8. PLD/FTP, lastro e movimentação",Aquisição relevante de créditos já vencidos ou inadimplentes,"Compras de direitos creditórios vencidos e inadimplentes (VII.A.4 e VII.A.5) em 12 meses sobre a carteira média, acima do p99.",aq_ruim_giro = SUM_12m(TAB_VII_A4_2 + TAB_VII_A5_2) / MEDIA_12m(carteira),Veículos com carteira média 12m > 0 e >= 10 das 12 competências,0.700746704710924,>=,"p99 da distribuição observada no grupo de comparação em 2026-06-30 (n=2953, mediana=0); dispara >=",baixa,1,carteira média 12m >= R$ 10 mi,2,observado,É literalmente o mandato do FIDC-NP: comprar crédito não performado e inadimplente com deságio para recuperar. O sinal só é informativo quando o veículo se apresenta como FIDC padronizado.,Confirmar o tipo do fundo (padronizado x NP) no registro: aquisição de crédito podre por fundo PADRONIZADO é que exige explicação.,2953,3481,2953,4327,80.45,30,28
PO-07,"8. PLD/FTP, lastro e movimentação",Liquidez de curto prazo nula em condomínio aberto,"Ativos conversíveis em caixa em até 30 dias (X.5) iguais a zero num fundo de condomínio ABERTO, onde o cotista pode pedir resgate.",(TAB_X_VL_LIQUIDEZ_0 + TAB_X_VL_LIQUIDEZ_30) = 0 AND CONDOM='ABERTO',Veículos de condomínio aberto com PL > 0,0.0,<=,"limiar fixo 0.0 (<=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=927)",alta,6,PL >= R$ 10 mi,2,observado,"Condomínio aberto com prazo de carência longo e janela de resgate anual não precisa de liquidez diária. Muitos administradores simplesmente não preenchem o bloco X.5, e zero ali significa 'não informado' — por isso o sinal exige que ao menos um dos dois campos esteja presente.",Ler a política de resgate no regulamento (carência e prazo de pagamento) antes de concluir por descasamento.,927,1117,927,4327,25.81,31,30
